minutes,games,random,greedy,minimax2,untrained,safety,material,train_win,kc_active,mbon_hz,depressed
1.2,0,0.53,,,,0.4146,0.5154,,,,
14.3,1024,0.48,,,,0.5213,0.4705,0.5078,0.0974,45.2358,0.0744
