minutes,games,random,greedy,minimax2,untrained,safety,material,train_win,kc_active,mbon_hz,depressed
1.2,0,0.47,,,,0.4414,0.4543,,,,
13.7,1024,0.44,,,,0.4049,0.5433,0.6875,0.0912,41.6396,0.0066
