minutes,games,random,greedy,minimax2,untrained,safety,material,train_win,kc_active,mbon_hz,depressed
1.2,0,0.57,,,,0.52,0.4927,,,,
14.2,1024,0.55,,,,0.4982,0.5772,0.6328,0.0821,38.8959,0.0048
