minutes,games,random,greedy,minimax2,untrained,safety,material,train_win,kc_active,mbon_hz,depressed
1.2,0,0.44,,,,0.4814,0.5343,,,,
14.2,1024,0.55,,,,0.5829,0.6006,0.5273,0.0921,42.1711,0.0027
