minutes,games,random,greedy,minimax2,untrained,safety,material,train_win,kc_active,mbon_hz,depressed
1.1,0,0.38,,,,0.4275,0.5349,,,,
12.9,1024,0.53,,,,0.5273,0.4363,0.5117,0.082,33.6676,0.0051
