minutes,games,random,greedy,minimax2,untrained,safety,material,train_win,kc_active,mbon_hz,depressed
1.3,0,0.45,,,,0.4534,0.4663,,,,
13.9,1024,0.57,,,,0.6499,0.5158,0.6016,0.089,82.4726,0.005
