minutes,games,random,greedy,minimax2,untrained,safety,material,train_win,kc_active,mbon_hz,depressed
2.5,0,0.73,0.71,,,0.6003,0.5251,,,,
15.8,1024,0.67,0.6,,,0.4583,0.6721,0.6602,0.0848,41.7942,0.0095
29.3,2048,0.58,0.67,,,0.494,0.7206,0.6367,0.0849,41.7132,0.014
42.2,3072,0.65,0.69,,,0.5209,0.6865,0.6602,0.0852,42.2236,0.0089
55.6,4096,0.68,0.46,,,0.5528,0.6246,0.6289,0.0836,41.1295,0.0262
