minutes,games,random,greedy,minimax2,untrained,safety,material,train_win,kc_active,mbon_hz,depressed
1.1,0,0.38,,,,0.4275,0.5349,,,,
12.7,1024,0.46,,,,0.3681,0.5932,0.4492,0.0734,34.599,0.0067
