minutes,games,random,greedy,minimax2,untrained,train_win,kc_active,mbon_hz,depressed
5.8,0,0.6,0.54,0.0,0.36,,,,
25.7,1024,0.69,0.69,0.0,0.49,0.668,0.0812,39.7692,0.0166
45.1,2048,0.8,0.71,0.01,0.53,0.6328,0.0838,41.4482,0.0061
64.4,3072,0.81,0.73,0.0,0.44,0.7188,0.0848,42.1057,0.0327
79.4,4096,0.72,0.61,0.0,0.67,0.7266,0.0868,42.5668,0.0054
