minutes,games,random,greedy,minimax2,untrained,safety,material,train_win,kc_active,mbon_hz,depressed
1.2,0,0.59,,,,0.4807,0.4619,,,,
13.0,1024,0.59,,,,0.4517,0.5123,0.457,0.0773,28.7186,0.0869
