minutes,games,random,greedy,minimax2,untrained,safety,material,train_win,kc_active,mbon_hz,depressed
22.7,0,0.72,0.58,0.0,0.6,0.4532,0.3196,,,,
87.9,1024,0.64,0.52,0.0,0.42,0.4475,0.3352,0.5664,0.0085,16.6765,0.0003
151.3,2048,0.61,0.57,0.0,0.44,0.4452,0.2748,0.6016,0.0087,16.615,0.0001
216.9,3072,0.58,0.51,0.0,0.15,0.4454,0.3661,0.6055,0.0087,16.8342,0.0004
282.5,4096,0.51,0.64,0.0,0.14,0.4775,0.3627,0.6094,0.0086,16.7428,0.0012
