minutes,games,random,greedy,minimax2,untrained,safety,material,train_win,kc_active,mbon_hz,depressed
6.0,0,0.63,0.63,0.01,0.51,0.5542,0.5545,,,,
23.3,1024,0.65,0.65,0.0,0.39,0.4309,0.571,0.6367,0.0846,41.5734,0.0046
41.1,2048,0.74,0.77,0.0,0.52,0.6003,0.5251,0.6758,0.0857,41.9164,0.0074
57.5,3072,0.71,0.71,0.0,0.66,0.5262,0.5913,0.707,0.0871,42.6272,0.0065
73.0,4096,0.76,0.72,0.0,0.64,0.607,0.4965,0.6484,0.0867,42.1024,0.0078
