minutes,games,random,greedy,minimax2,untrained,safety,material,train_win,kc_active,mbon_hz,depressed
1.3,0,0.45,,,,0.5802,0.5468,,,,
14.4,1024,0.62,,,,0.6293,0.545,0.5938,0.0728,78.2999,0.0091
