minutes,games,random,greedy,minimax2,untrained,safety,material,train_win,kc_active,mbon_hz,depressed
1.1,0,0.45,,,,0.5568,0.4977,,,,
13.0,1024,0.51,,,,0.529,0.5098,0.457,0.0743,33.9467,0.0078
