minutes,games,random,greedy,minimax2,untrained,safety,material,train_win,kc_active,mbon_hz,depressed
5.7,0,0.6,0.54,0.0,0.36,0.5465,0.4501,,,,
22.1,1024,0.4,0.33,0.0,0.23,0.5146,0.5399,0.4453,0.0784,37.0932,0.0027
38.4,2048,0.49,0.44,0.0,0.15,0.3899,0.6164,0.5,0.0789,37.85,0.0081
54.4,3072,0.46,0.34,0.0,0.39,0.4074,0.5933,0.4883,0.0781,36.9615,0.0036
70.3,4096,0.44,0.38,0.0,0.13,0.3958,0.594,0.6094,0.0802,38.4625,0.0055
