minutes,games,random,greedy,minimax2,train_win,kc_active,mbon_hz,depressed
0.0,0,,,,,,,
4.3,64,,,,0.4375,0.0764,41.831,0.0
9.4,128,,,,0.5312,0.0735,38.8539,0.0
