minutes,games,random,greedy,minimax2,untrained,safety,material,train_win,kc_active,mbon_hz,depressed
2.5,0,0.6,0.54,,,0.5465,0.4501,,,,
16.0,1024,0.5,0.46,,,0.4167,0.7237,0.5938,0.0775,35.9565,0.0065
29.2,2048,0.49,0.47,,,0.4772,0.6921,0.5508,0.0785,36.7454,0.0134
42.7,3072,0.53,0.54,,,0.5859,0.6384,0.5234,0.0784,37.1551,0.0163
56.0,4096,0.59,0.43,,,0.6149,0.6182,0.5898,0.0777,36.7427,0.007
