minutes,games,random,greedy,minimax2,untrained,safety,material,train_win,kc_active,mbon_hz,depressed
1.4,0,0.43,,,,0.4918,0.5055,,,,
14.7,1024,0.62,,,,0.5861,0.6151,0.6406,0.1209,92.8324,0.0006
