minutes,games,random,greedy,minimax2,untrained,safety,material,train_win,kc_active,mbon_hz,depressed
9.9,0,0.76,0.76,0.0,,0.5005,0.3169,,,,
45.1,20032,0.78,0.58,0.0,,0.487,0.3142,,,,0.0047
80.7,40000,0.72,0.72,0.0,,0.4912,0.3651,,,,0.0057
