minutes,games,random,greedy,minimax2,untrained,safety,material,train_win,kc_active,mbon_hz,depressed
5.7,0,,,,,0.4998,0.317,,,,
15.5,8,,,,,0.4998,0.3424,0.625,0.0086,16.6291,0.0007
