minutes,games,random,greedy,minimax2,untrained,safety,material,train_win,kc_active,mbon_hz,depressed
1.3,0,0.6,,,,0.5465,0.4501,,,,
13.9,1024,0.79,,,,0.6277,0.5003,0.6289,0.0799,38.5704,0.0115
