minutes,games,random,greedy,minimax2,untrained,safety,material,train_win,kc_active,mbon_hz,depressed
3.7,0,0.73,0.71,,,0.6003,0.5251,,,,
21.1,1024,0.73,0.62,,,0.5642,0.6333,0.6016,0.0807,38.6169,0.0034
38.1,2048,0.5,0.56,,,0.3991,0.6501,0.5625,0.0786,37.028,0.018
51.5,3072,0.59,0.52,,,0.5858,0.6117,0.5312,0.0806,39.0732,0.0044
73.2,4096,0.32,0.42,,,0.398,0.6573,0.5,0.0805,38.4615,0.0151
