minutes,games,random,greedy,minimax2,untrained,safety,material,train_win,kc_active,mbon_hz,depressed
1.3,0,0.54,,,,0.5015,0.5174,,,,
13.5,1024,0.64,,,,0.6437,0.5582,0.6641,0.0749,38.6241,0.0038
