minutes,games,random,greedy,minimax2,untrained,safety,material,train_win,kc_active,mbon_hz,depressed
1.3,0,0.61,,,,0.4397,0.498,,,,
13.1,1024,0.72,,,,0.5491,0.6016,0.6641,0.0975,45.9169,0.0074
