minutes,games,random,greedy,minimax2,untrained,safety,material,train_win,kc_active,mbon_hz,depressed
24.8,0,0.69,0.62,0.0,0.32,0.5005,0.3169,,,,
94.7,1024,0.67,0.7,0.0,0.34,0.5032,0.3749,0.6094,0.0086,16.6245,0.0024
162.2,2048,0.64,0.59,0.0,0.41,0.5036,0.362,0.6406,0.0086,16.5174,0.0032
227.2,3072,0.54,0.67,0.01,0.42,0.5006,0.3225,0.6094,0.0086,16.9254,0.0013
288.7,4096,0.77,0.6,0.0,0.63,0.4532,0.3196,0.6758,0.0086,16.7012,0.0006
